DATE,CP0000EU28M086NEST
1999-12-01,71.76
2000-01-01,71.83
2000-02-01,72.12
2000-03-01,72.41
2000-04-01,72.6
2000-05-01,72.76
2000-06-01,73.04
2000-07-01,73.15
2000-08-01,73.23
2000-09-01,73.67
2000-10-01,73.79
2000-11-01,74.01
2000-12-01,74.27
2001-01-01,74.06
2001-02-01,74.32
2001-03-01,74.72
2001-04-01,75.21
2001-05-01,75.66
2001-06-01,75.79
2001-07-01,75.58
2001-08-01,75.61
2001-09-01,75.86
2001-10-01,75.95
2001-11-01,75.95
2001-12-01,76.27
2002-01-01,76.4
2002-02-01,76.54
2002-03-01,76.94
2002-04-01,77.3
2002-05-01,77.44
2002-06-01,77.4
2002-07-01,77.29
2002-08-01,77.35
2002-09-01,77.57
2002-10-01,77.77
2002-11-01,77.75
2002-12-01,78.09
2003-01-01,78.05
2003-02-01,78.37
2003-03-01,78.79
2003-04-01,78.93
2003-05-01,78.9
2003-06-01,78.95
2003-07-01,78.85
2003-08-01,78.97
2003-09-01,79.27
2003-10-01,79.42
2003-11-01,79.48
2003-12-01,79.73
2004-01-01,79.62
2004-02-01,79.81
2004-03-01,80.23
2004-04-01,80.62
2004-05-01,80.92
2004-06-01,80.96
2004-07-01,80.82
2004-08-01,80.95
2004-09-01,81.06
2004-10-01,81.38
2004-11-01,81.37
2004-12-01,81.67
2005-01-01,81.26
2005-02-01,81.54
2005-03-01,82.05
2005-04-01,82.41
2005-05-01,82.61
2005-06-01,82.69
2005-07-01,82.65
2005-08-01,82.84
2005-09-01,83.21
2005-10-01,83.43
2005-11-01,83.3
2005-12-01,83.54
2006-01-01,83.24
2006-02-01,83.49
2006-03-01,83.88
2006-04-01,84.42
2006-05-01,84.72
2006-06-01,84.81
2006-07-01,84.72
2006-08-01,84.86
2006-09-01,84.9
2006-10-01,84.97
2006-11-01,85.06
2006-12-01,85.39
2007-01-01,85.02
2007-02-01,85.29
2007-03-01,85.81
2007-04-01,86.3
2007-05-01,86.53
2007-06-01,86.64
2007-07-01,86.41
2007-08-01,86.52
2007-09-01,86.84
2007-10-01,87.28
2007-11-01,87.74
2007-12-01,88.1
2008-01-01,87.92
2008-02-01,88.29
2008-03-01,89.03
2008-04-01,89.4
2008-05-01,89.97
2008-06-01,90.34
2008-07-01,90.27
2008-08-01,90.24
2008-09-01,90.48
2008-10-01,90.51
2008-11-01,90.17
2008-12-01,90.01
2009-01-01,89.47
2009-02-01,89.93
2009-03-01,90.25
2009-04-01,90.56
2009-05-01,90.72
2009-06-01,90.91
2009-07-01,90.49
2009-08-01,90.75
2009-09-01,90.77
2009-10-01,90.96
2009-11-01,91.11
2009-12-01,91.39
2010-01-01,90.95
2010-02-01,91.24
2010-03-01,92.07
2010-04-01,92.47
2010-05-01,92.6
2010-06-01,92.64
2010-07-01,92.38
2010-08-01,92.56
2010-09-01,92.81
2010-10-01,93.08
2010-11-01,93.23
2010-12-01,93.82
2011-01-01,93.44
2011-02-01,93.87
2011-03-01,94.9
2011-04-01,95.48
2011-05-01,95.56
2011-06-01,95.5
2011-07-01,95.09
2011-08-01,95.29
2011-09-01,95.89
2011-10-01,96.19
2011-11-01,96.34
2011-12-01,96.67
2012-01-01,96.12
2012-02-01,96.62
2012-03-01,97.62
2012-04-01,98.08
2012-05-01,98.0
2012-06-01,97.89
2012-07-01,97.52
2012-08-01,97.87
2012-09-01,98.47
2012-10-01,98.74
2012-11-01,98.61
2012-12-01,98.94
2013-01-01,98.16
2013-02-01,98.56
2013-03-01,99.46
2013-04-01,99.45
2013-05-01,99.55
2013-06-01,99.6
2013-07-01,99.2
2013-08-01,99.33
2013-09-01,99.74
2013-10-01,99.66
2013-11-01,99.58
2013-12-01,99.92
2014-01-01,99.04
2014-02-01,99.36
2014-03-01,100.07
2014-04-01,100.25
2014-05-01,100.16
2014-06-01,100.26
2014-07-01,99.74
2014-08-01,99.84
2014-09-01,100.15
2014-10-01,100.14
2014-11-01,99.93
2014-12-01,99.84
2015-01-01,98.57
2015-02-01,99.07
2015-03-01,99.97
2015-04-01,100.36
2015-05-01,100.62
2015-06-01,100.59
2015-07-01,100.12
2015-08-01,100.11
2015-09-01,100.23
2015-10-01,100.34
2015-11-01,100.01
2015-12-01,100.02
2016-01-01,98.83
2016-02-01,98.98
2016-03-01,99.93
2016-04-01,100.13
2016-05-01,100.48
2016-06-01,100.65
2016-07-01,100.28
2016-08-01,100.34
2016-09-01,100.64
2016-10-01,100.87
2016-11-01,100.65
2016-12-01,101.16
2017-01-01,100.49
2017-02-01,100.93
2017-03-01,101.58
2017-04-01,102.1
2017-05-01,102.09
2017-06-01,102.15
2017-07-01,101.83
2017-08-01,102.08
2017-09-01,102.44
2017-10-01,102.55
2017-11-01,102.5
2017-12-01,102.82
2018-01-01,102.12
2018-02-01,102.35
2018-03-01,103.17
2018-04-01,103.60
2018-05-01,104.16
2018-06-01,104.28
2018-07-01,104.12
2018-08-01,104.32
2018-09-01,104.66
2018-10-01,104.91
2018-11-01,104.51
2018-12-01,104.5
2019-01-01,103.64
2019-02-01,104.02
2019-03-01,104.85
2019-04-01,105.58
2019-05-01,105.79
2019-06-01,105.9
2019-07-01,105.59
2019-08-01,105.73
2019-09-01,105.9
2019-10-01,106.03
2019-11-01,105.85
2019-12-01,106.14
2020-01-01,105.44
