DATE,CPMNACSCAB1GQEU272020
1995-01-01,1552356.9
1995-04-01,1570790.8
1995-07-01,1598186.5
1995-10-01,1617057.9
1996-01-01,1634593.4
1996-04-01,1654964.4
1996-07-01,1672659.1
1996-10-01,1675842.3
1997-01-01,1676192.4
1997-04-01,1693956.4
1997-07-01,1713495.2
1997-10-01,1739712.9
1998-01-01,1749917.7
1998-04-01,1769739.5
1998-07-01,1786577.8
1998-10-01,1802817.5
1999-01-01,1821099.0
1999-04-01,1838124.7
1999-07-01,1866902.5
1999-10-01,1896310.9
2000-01-01,1929794.3
2000-04-01,1958025.7
2000-07-01,1980402.0
2000-10-01,2003036.6
2001-01-01,2035209.0
2001-04-01,2055731.1
2001-07-01,2066953.8
2001-10-01,2087364.5
2002-01-01,2109719.8
2002-04-01,2126795.9
2002-07-01,2145930.6
2002-10-01,2160307.3
2003-01-01,2165493.3
2003-04-01,2178223.2
2003-07-01,2205104.2
2003-10-01,2225328.6
2004-01-01,2248520.5
2004-04-01,2279567.2
2004-07-01,2299182.9
2004-10-01,2327029.4
2005-01-01,2347143.7
2005-04-01,2370803.6
2005-07-01,2401569.9
2005-10-01,2435671.3
2006-01-01,2469955.2
2006-04-01,2512666.2
2006-07-01,2542586.6
2006-10-01,2591366.9
2007-01-01,2634579.1
2007-04-01,2669061.5
2007-07-01,2698141.5
2007-10-01,2741988.9
2008-01-01,2771111.6
2008-04-01,2789388.8
2008-07-01,2791145.8
2008-10-01,2728236.1
2009-01-01,2630167.5
2009-04-01,2630555.7
2009-07-01,2652007.9
2009-10-01,2672670.5
2010-01-01,2696116.6
2010-04-01,2729109.0
2010-07-01,2758207.6
2010-10-01,2786146.6
2011-01-01,2822455.0
2011-04-01,2830509.9
2011-07-01,2837880.5
2011-10-01,2827351.6
2012-01-01,2840575.7
2012-04-01,2841752.3
2012-07-01,2858058.6
2012-10-01,2852897.8
2013-01-01,2857159.4
2013-04-01,2877902.9
2013-07-01,2889281.5
2013-10-01,2901439.4
2014-01-01,2924490.0
2014-04-01,2936400.1
2014-07-01,2954856.4
2014-10-01,2975686.0
2015-01-01,3014057.4
2015-04-01,3042846.8
2015-07-01,3066046.2
2015-10-01,3087427.9
2016-01-01,3106500.8
2016-04-01,3123794.4
2016-07-01,3143584.3
2016-10-01,3171479.8
2017-01-01,3212250.2
2017-04-01,3255817.7
2017-07-01,3289213.3
2017-10-01,3327842.3
2018-01-01,3347689.4
2018-04-01,3372748.9
2018-07-01,3389970.9
2018-10-01,3429071.7
2019-01-01,3471907.5
2019-04-01,3496086.5
2019-07-01,3518870.0
2019-10-01,3540408.8
2020-01-01,3445259.2
2020-04-01,3081380.6
2020-07-01,3425243.2
2020-10-01,3442595.3
2021-01-01,3472775.4
2021-04-01,3557639.2
2021-07-01,3676729.1
2021-10-01,3730472.2
